pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s
side,0.02,0,0.6505442261695862,-23.235897064208984,0.13627295196056366,0.40277501940727234,0.1214420348405838,1.9207686185836792,0,False,0.20259471237659454,0.0
side,0.04,0,0.6449575424194336,-24.9344425201416,-1.1640125513076782,0.43211835622787476,0.4101076126098633,1.6146599054336548,0,False,0.4187571108341217,0.0
side,0.06,0,0.6339401602745056,-26.692869186401367,-2.369154691696167,0.4629955589771271,0.6482411026954651,1.8122570514678955,0,False,0.5345853567123413,0.0
side,0.08,0,0.6195729374885559,-28.820743560791016,-2.808060884475708,0.499350905418396,0.7749472856521606,1.4936599731445312,0,False,0.6085295081138611,0.0
side,0.1,0,0.6025267839431763,-27.454757690429688,-2.721606492996216,0.4762631952762604,0.9208524823188782,1.7778421640396118,0,False,0.6427749395370483,0.0
side,0.12,0,0.5831676721572876,-27.68018913269043,-2.4057047367095947,0.47970396280288696,1.0264332294464111,1.5671807527542114,0,False,0.6424281001091003,0.0
side,0.14,0,0.5571994185447693,-26.484737396240234,-2.9949464797973633,0.4602751135826111,1.4618386030197144,1.5611478090286255,0,False,0.6685367226600647,0.0
side,0.16,0,0.5235443115234375,-25.283063888549805,-3.956881046295166,0.4417116045951843,1.7992032766342163,1.2088559865951538,0,False,0.7201678156852722,0.0
side,0.18,0,0.4872392416000366,-25.537334442138672,-4.3243794441223145,0.4467402696609497,1.805405616760254,0.9201574325561523,0,False,0.7109391689300537,0.0
side,0.2,0,0.4516916275024414,-26.815025329589844,-3.686824321746826,0.46691441535949707,1.8010927438735962,2.1953861713409424,0,False,0.6720643639564514,0.0
side,0.22,0,0.4112289845943451,-25.22475814819336,-3.858968734741211,0.4405374228954315,2.1701102256774902,1.7351877689361572,0,False,0.7012280821800232,0.0
side,0.24,0,0.3647095859050751,-25.634389877319336,-4.283692836761475,0.4482762813568115,2.4014413356781006,0.590740978717804,0,False,0.7307334542274475,0.0
side,0.26,0,0.31841719150543213,-25.353002548217773,-4.211216926574707,0.44341209530830383,2.041698932647705,2.019550323486328,3,False,0.6859356760978699,0.0
side,0.28,0,0.28452345728874207,-20.310302734375,-3.9047391414642334,0.35801956057548523,1.5333831310272217,5.4478840827941895,3,False,0.6629795432090759,0.0
side,0.3,0,0.2612476646900177,-14.29783821105957,-2.3017430305480957,0.25182992219924927,1.0228601694107056,6.621120452880859,3,False,0.6367639303207397,0.0
side,0.32,0,0.2433864027261734,-8.639089584350586,-0.919402539730072,0.1514614075422287,0.965236246585846,5.406578063964844,4,False,0.6150363087654114,0.0
side,0.34,0,0.23179863393306732,-4.465831756591797,0.5323632955551147,0.07847074419260025,0.4049365818500519,4.6312689781188965,4,False,0.6192500591278076,0.0
side,0.36,0,0.23056724667549133,-1.6281168460845947,2.6088485717773438,0.05364516004920006,0.13645096123218536,3.257507801055908,4,False,0.6305606961250305,0.0
side,0.38,0,0.23551958799362183,-2.3160808086395264,4.157129287719727,0.08296366780996323,0.35122209787368774,2.415440082550049,4,False,0.6238962411880493,0.0
side,0.4,0,0.24412862956523895,-4.499842166900635,5.431217670440674,0.12272493541240692,0.5124837756156921,2.299752950668335,4,False,0.6153123378753662,0.0
side,0.42,0,0.253688246011734,-7.121336936950684,6.239390850067139,0.1643316149711609,0.499064564704895,2.505725145339966,2,False,0.6073863506317139,0.0
side,0.44,0,0.26241230964660645,-9.500761985778809,6.726150989532471,0.20160256326198578,0.46453431248664856,1.8719089031219482,3,False,0.6014149785041809,0.0
side,0.46,0,0.2704997956752777,-11.202166557312012,7.14398193359375,0.2297099083662033,0.4557649791240692,1.220090627670288,3,False,0.5999425649642944,0.0
side,0.48,0,0.27817586064338684,-12.471187591552734,7.501753807067871,0.251266747713089,0.46011462807655334,0.9455496072769165,3,False,0.6026034355163574,0.0
side,0.5,0,0.2851390838623047,-13.441363334655762,7.720338344573975,0.26734834909439087,0.45099952816963196,0.6953307390213013,3,False,0.6072134375572205,0.0
side,0.52,0,0.29148155450820923,-14.10547161102295,7.844940185546875,0.2781941592693329,0.4475913643836975,0.5535321235656738,3,False,0.6131969690322876,0.0
side,0.54,0,0.2968199849128723,-14.6234769821167,7.750137805938721,0.2852247357368469,0.4403764009475708,0.5492994785308838,3,False,0.6191061735153198,0.0
side,0.56,0,0.30157509446144104,-14.97565746307373,7.576991558074951,0.2892846167087555,0.4428342878818512,0.5160179138183594,3,False,0.6252650618553162,0.0
side,0.58,0,0.3058136999607086,-15.233893394470215,7.307560443878174,0.29134422540664673,0.44518789649009705,0.5723721385002136,3,False,0.6319912672042847,0.0
side,0.6,0,0.3096974194049835,-15.42967700958252,6.955287456512451,0.29202428460121155,0.44078630208969116,0.6335161924362183,3,False,0.6389158964157104,0.0
side,0.62,0,0.31367209553718567,-15.596006393432617,6.50005578994751,0.2917763590812683,0.4175293743610382,0.8298856616020203,3,False,0.6449220180511475,0.0
side,0.64,0,0.3186158835887909,-15.932141304016113,5.898386478424072,0.29367557168006897,0.4027465283870697,1.074091911315918,3,False,0.6533158421516418,0.0
side,0.66,0,0.3242366909980774,-16.311010360717773,5.263100624084473,0.2965727150440216,0.40246543288230896,1.0153199434280396,3,False,0.6673263907432556,0.0
side,0.68,0,0.328720360994339,-16.572227478027344,4.96047306060791,0.2994607090950012,0.31487834453582764,0.6192619800567627,2,False,0.6683609485626221,0.0
side,0.7000000000000001,0,0.3318144977092743,-16.849327087402344,4.96077299118042,0.3040233552455902,0.25524425506591797,0.6038358807563782,3,False,0.663901150226593,0.0
side,0.72,0,0.33382055163383484,-16.6429386138916,4.920897483825684,0.3004499673843384,0.2070031315088272,0.40281039476394653,3,False,0.6660033464431763,0.0
side,0.74,0,0.33384284377098083,-16.285465240478516,4.873915672302246,0.2943562865257263,0.1897975504398346,0.5571141242980957,3,False,0.6682922840118408,0.0
side,0.76,0,0.33178001642227173,-15.939738273620605,4.733180522918701,0.2880343794822693,0.21878096461296082,0.49256497621536255,3,False,0.6700319051742554,0.0
side,0.78,0,0.3281252086162567,-15.607659339904785,4.443562030792236,0.28128185868263245,0.24510538578033447,0.6248677372932434,3,False,0.6724045276641846,0.0
side,0.8,0,0.3246085047721863,-15.383170127868652,3.995134115219116,0.275700181722641,0.2218778133392334,0.6713379621505737,3,False,0.6753802299499512,0.0
side,0.8200000000000001,0,0.321930855512619,-15.245911598205566,3.5619139671325684,0.27176886796951294,0.17618758976459503,0.5054801106452942,3,False,0.6775595545768738,0.0
side,0.84,0,0.3202134966850281,-15.286962509155273,3.3325538635253906,0.27166396379470825,0.15225708484649658,0.35028716921806335,3,False,0.6800979971885681,0.0
side,0.86,0,0.3192095458507538,-15.423782348632812,3.2282660007476807,0.2736299932003021,0.15042033791542053,0.19858701527118683,3,False,0.6808751225471497,0.0
side,0.88,0,0.31908118724823,-15.800201416015625,3.106722116470337,0.27961575984954834,0.16150608658790588,0.17195716500282288,3,False,0.6822004914283752,0.0
side,0.9,0,0.3191104829311371,-16.05473518371582,3.1274633407592773,0.28398624062538147,0.16765356063842773,0.12110106647014618,3,False,0.6832963228225708,0.0
side,0.92,0,0.319055438041687,-16.344968795776367,3.1557631492614746,0.28898245096206665,0.17183591425418854,0.06493134796619415,3,False,0.6846609115600586,0.0
side,0.9400000000000001,0,0.318774551153183,-16.68101692199707,3.126274824142456,0.2945869565010071,0.17584113776683807,0.08864544332027435,3,False,0.6863820552825928,0.0
side,0.96,0,0.3181598484516144,-17.0888671875,3.0419673919677734,0.3012661635875702,0.17902636528015137,0.14872024953365326,3,False,0.6884589791297913,0.0
side,0.98,0,0.31736209988594055,-17.586708068847656,2.931558847427368,0.3094286024570465,0.18323928117752075,0.2007606327533722,3,False,0.6903514862060547,0.0
side,1.0,0,0.3165578842163086,-18.15938949584961,2.802030563354492,0.3188500702381134,0.18488438427448273,0.32004982233047485,3,False,0.6920174360275269,0.0
side,1.02,0,0.3158612549304962,-18.777732849121094,2.67877459526062,0.3290991187095642,0.1889830231666565,0.3040046989917755,3,False,0.6937577128410339,0.0
side,1.04,0,0.3152686357498169,-19.448801040649414,2.5795981884002686,0.34032440185546875,0.19395586848258972,0.32731759548187256,3,False,0.6954450011253357,0.0
side,1.06,0,0.3146754801273346,-20.158935546875,2.5017521381378174,0.3522735834121704,0.19710513949394226,0.40486592054367065,2,False,0.6964711546897888,0.0
side,1.08,0,0.3141579329967499,-20.848373413085938,2.429316997528076,0.3638903796672821,0.20492784678936005,0.3216370940208435,3,False,0.6980578303337097,0.0
side,1.1,0,0.3137301206588745,-21.56909942626953,2.3563392162323,0.37604600191116333,0.21365636587142944,0.3522047698497772,3,False,0.6993144750595093,0.0
side,1.12,0,0.31322571635246277,-22.322513580322266,2.279538631439209,0.38875699043273926,0.22065196931362152,0.44991549849510193,2,False,0.6993069052696228,0.0
side,1.1400000000000001,0,0.31275367736816406,-23.06403350830078,2.190356969833374,0.4012519419193268,0.23538270592689514,0.38488224148750305,2,False,0.7001550793647766,0.0
side,1.16,0,0.31230247020721436,-23.85098648071289,2.096308469772339,0.4145163595676422,0.25284865498542786,0.38359999656677246,2,False,0.7009156346321106,0.0
side,1.18,0,0.3117366135120392,-24.751171112060547,1.9632437229156494,0.4296628534793854,0.26591232419013977,0.638010561466217,2,False,0.7008188962936401,0.0
side,1.2,0,0.31108173727989197,-25.735748291015625,1.8038076162338257,0.44621968269348145,0.2868656516075134,0.600979745388031,2,False,0.7013704180717468,0.0
side,1.22,0,0.31039905548095703,-26.829191207885742,1.6305592060089111,0.4646112322807312,0.31121525168418884,0.6442615985870361,2,False,0.7024938464164734,0.0
side,1.24,0,0.3095775544643402,-28.061599731445312,1.425312876701355,0.48532524704933167,0.33434322476387024,0.8165172934532166,2,False,0.7034590244293213,0.0
side,1.26,0,0.3085658848285675,-29.44774627685547,1.1870994567871094,0.5086005926132202,0.35977649688720703,0.9395774602890015,2,False,0.7044790983200073,0.0
side,1.28,0,0.30738553404808044,-30.993024826049805,0.9234161376953125,0.5345125198364258,0.38915422558784485,1.0731372833251953,2,False,0.705834150314331,0.0
side,1.3,0,0.3060253858566284,-32.702518463134766,0.6369227766990662,0.5631159543991089,0.4232673943042755,1.2027958631515503,2,False,0.7076175212860107,0.0
side,1.32,0,0.3044327199459076,-34.58206558227539,0.32487133145332336,0.5944660305976868,0.46235233545303345,1.3472206592559814,2,False,0.7099470496177673,0.0
side,1.34,0,0.30252566933631897,-36.661865234375,-0.029189666733145714,0.6290100812911987,0.5037859678268433,1.5470101833343506,2,False,0.7128567099571228,0.0
side,1.36,0,0.30019494891166687,-38.96585464477539,-0.4440072178840637,0.667073130607605,0.5489896535873413,1.7643381357192993,2,False,0.7161358594894409,0.0
side,1.3800000000000001,0,0.29733145236968994,-41.54508590698242,-0.950384795665741,0.7093991637229919,0.5986471176147461,2.046178102493286,2,False,0.7198545336723328,0.0
side,1.4000000000000001,0,0.2938189208507538,-44.460540771484375,-1.5857118368148804,0.7568438649177551,0.6528534889221191,2.38785982131958,2,False,0.7245152592658997,0.0
side,1.42,0,0.28946322202682495,-47.79431915283203,-2.4032328128814697,0.8105218410491943,0.7102267146110535,2.837963581085205,2,False,0.7309553027153015,0.0
side,1.44,0,0.28405502438545227,-51.615020751953125,-3.4951326847076416,0.8712103962898254,0.7705651521682739,3.3585150241851807,2,False,0.7389055490493774,0.0
side,1.46,0,0.27758610248565674,-55.876609802246094,-4.933355331420898,0.9377413988113403,0.8402705788612366,3.7838943004608154,2,False,0.7483687996864319,0.0
