pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s
side,0.02,0,0.6911067962646484,-21.759029388427734,-6.799319267272949,0.39215144515037537,0.09045596420764923,1.2585989236831665,0,False,0.19623292982578278,0.0
side,0.04,0,0.6846151947975159,-22.304805755615234,-7.0769829750061035,0.402157187461853,0.48860862851142883,0.8815662264823914,0,False,0.3072968125343323,0.0
side,0.06,0,0.6722488403320312,-19.029403686523438,-8.210866928100586,0.35587412118911743,0.6673690676689148,3.0170650482177734,0,False,0.39841222763061523,0.0
side,0.08,0,0.6571619510650635,-19.461246490478516,-8.748968124389648,0.3658004403114319,0.8181533813476562,1.9077715873718262,0,False,0.5080909132957458,0.0
side,0.1,0,0.6376166343688965,-19.080766677856445,-8.773244857788086,0.3600988984107971,1.070579171180725,1.2536664009094238,0,False,0.5707157850265503,0.0
side,0.12,0,0.6167589426040649,-20.77564811706543,-9.879075050354004,0.39287856221199036,1.0208001136779785,2.4309041500091553,0,False,0.6100224256515503,0.0
side,0.14,0,0.5920702815055847,-20.33197593688965,-10.14506721496582,0.38789740204811096,1.3643826246261597,1.717484474182129,0,False,0.6332131028175354,0.0
side,0.16,0,0.561302125453949,-20.933820724487305,-9.638753890991211,0.3938002586364746,1.657577395439148,1.2515778541564941,0,False,0.6739781498908997,0.0
side,0.18,0,0.5266186594963074,-22.4132080078125,-9.595080375671387,0.4162408411502838,1.7797297239303589,1.2232307195663452,0,False,0.703679084777832,0.0
side,0.2,0,0.4895062744617462,-24.04133415222168,-10.012656211853027,0.4436056911945343,1.8934247493743896,1.2315013408660889,0,False,0.7047364711761475,0.0
side,0.22,0,0.44892534613609314,-24.163450241088867,-10.059022903442383,0.44573190808296204,2.1137874126434326,0.7065280079841614,0,False,0.7030348181724548,0.0
side,0.24,0,0.40402594208717346,-24.652170181274414,-9.908556938171387,0.45251545310020447,2.329159736633301,0.8434198498725891,0,False,0.7123028635978699,0.0
side,0.26,0,0.3575112819671631,-23.86652374267578,-10.550274848937988,0.44382885098457336,2.237931728363037,2.6087939739227295,1,False,0.6985631585121155,0.0
side,0.28,0,0.31239593029022217,-18.6379337310791,-12.085151672363281,0.37778857350349426,2.1903605461120605,5.994976997375488,2,False,0.6935242414474487,0.0
side,0.3,0,0.2705270051956177,-14.429201126098633,-12.618934631347656,0.32721149921417236,1.921431303024292,8.046289443969727,2,False,0.7222111225128174,0.0
side,0.32,0,0.23509174585342407,-19.555334091186523,-9.958002090454102,0.3750171959400177,1.7979873418807983,4.330272674560547,2,False,0.727068305015564,0.0
side,0.34,0,0.20412956178188324,-21.119539260864258,-6.582603454589844,0.38086050748825073,1.5698788166046143,3.5718395709991455,3,False,0.7594727873802185,0.0
side,0.36,0,0.185788094997406,-19.591846466064453,-3.735379934310913,0.3454616069793701,0.559438169002533,3.035034418106079,3,False,0.7733418941497803,0.0
side,0.38,0,0.1837390810251236,-18.747055053710938,-3.6179885864257812,0.33089643716812134,0.4870396554470062,2.2710824012756348,3,False,0.8018994927406311,0.0
side,0.4,0,0.18511319160461426,-16.34333038330078,-3.204211950302124,0.28909820318222046,0.540134847164154,2.586188793182373,3,False,0.8279058933258057,0.0
side,0.42,0,0.18753832578659058,-15.021303176879883,-2.352022409439087,0.26430872082710266,0.5344204306602478,2.0104167461395264,3,False,0.8292906880378723,0.0
side,0.44,0,0.19267214834690094,-12.022603034973145,-1.762361764907837,0.21155180037021637,0.5686448216438293,3.5255987644195557,3,False,0.8027756810188293,0.0
side,0.46,0,0.19977949559688568,-8.652427673339844,-1.382520079612732,0.15272289514541626,0.6398731470108032,2.312366008758545,4,False,0.7774279117584229,0.0
side,0.48,0,0.20986498892307281,-8.441737174987793,-1.2664130926132202,0.14880025386810303,0.733984649181366,1.1239628791809082,4,False,0.7566249966621399,0.0
