pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s,geometry_ok,FL_foot_x_b,FL_foot_y_b,FL_foot_z_b,FL_knee_y_b,FR_foot_x_b,FR_foot_y_b,FR_foot_z_b,FR_knee_y_b,RL_foot_x_b,RL_foot_y_b,RL_foot_z_b,RL_knee_y_b,RR_foot_x_b,RR_foot_y_b,RR_foot_z_b,RR_knee_y_b,FL_hip_joint,FL_hip_joint_offset,FR_hip_joint,FR_hip_joint_offset,RL_hip_joint,RL_hip_joint_offset,RR_hip_joint,RR_hip_joint_offset,FL_thigh_joint,FL_thigh_joint_offset,FR_thigh_joint,FR_thigh_joint_offset,RL_thigh_joint,RL_thigh_joint_offset,RR_thigh_joint,RR_thigh_joint_offset,FL_calf_joint,FL_calf_joint_offset,FR_calf_joint,FR_calf_joint_offset,RL_calf_joint,RL_calf_joint_offset,RR_calf_joint,RR_calf_joint_offset
upright,0.02,0,0.3899703323841095,8.929826736450195,1.7250844240188599,0.1584787517786026,0.07838696241378784,0.4571828544139862,0,False,0.09975595772266388,0.0,True,0.1992529034614563,0.191534623503685,-0.31987321376800537,0.1665649563074112,0.1665874868631363,-0.1863628625869751,-0.30107805132865906,-0.16200216114521027,-0.29037797451019287,0.1812548041343689,-0.3014318346977234,0.1562539041042328,-0.2811354696750641,-0.13064806163311005,-0.3172435164451599,-0.13761940598487854,0.15031003952026367,0.05031003803014755,-0.1430882215499878,-0.043088220059871674,0.12697063386440277,0.02697063237428665,0.03596208244562149,0.1359620839357376,0.6369260549545288,-0.16307395696640015,0.8083769083023071,0.008376896381378174,0.9800682663917542,-0.01993173360824585,0.9716635942459106,-0.028336405754089355,-1.3084814548492432,0.19151854515075684,-1.4484869241714478,0.051513075828552246,-1.3647243976593018,0.13527560234069824,-1.3984211683273315,0.10157883167266846
upright,0.04,0,0.3857664167881012,7.043991565704346,1.9779138565063477,0.12751568853855133,0.30299291014671326,1.615704894065857,0,False,0.1433558464050293,0.0,True,0.22404304146766663,0.16565904021263123,-0.33215323090553284,0.15451771020889282,0.15739205479621887,-0.1906300187110901,-0.31892409920692444,-0.16376487910747528,-0.30555903911590576,0.1353389024734497,-0.3224917948246002,0.13953891396522522,-0.29017674922943115,-0.11595731973648071,-0.31382128596305847,-0.13232678174972534,0.07039868831634521,-0.029601313173770905,-0.14807701110839844,-0.04807700961828232,-0.020716439932584763,-0.12071643769741058,0.08386185020208359,0.1838618516921997,0.5524002313613892,-0.2475997805595398,0.7585281133651733,-0.041471898555755615,0.984591543674469,-0.015408456325531006,1.02000892162323,0.02000892162322998,-1.284719705581665,0.21528029441833496,-1.3039780855178833,0.1960219144821167,-1.296081304550171,0.2039186954498291,-1.4290837049484253,0.07091629505157471
upright,0.06,0,0.37756970524787903,6.281369686126709,2.224526882171631,0.1161339059472084,0.46839556097984314,0.60028076171875,1,False,0.1544012725353241,0.0,True,0.22824054956436157,0.1599486619234085,-0.33019590377807617,0.1516268104314804,0.16500923037528992,-0.18139085173606873,-0.3194546699523926,-0.16000351309776306,-0.3099241852760315,0.1038455069065094,-0.3303872346878052,0.12764859199523926,-0.29501470923423767,-0.10408153384923935,-0.320416122674942,-0.12775792181491852,0.05388525128364563,-0.04611475020647049,-0.12053493410348892,-0.020534932613372803,-0.11693581193685532,-0.21693581342697144,0.11991985887289047,0.2199198603630066,0.5524296760559082,-0.24757033586502075,0.752480685710907,-0.04751932621002197,0.9869208931922913,-0.01307910680770874,1.0098375082015991,0.009837508201599121,-1.3116109371185303,0.18838906288146973,-1.335037112236023,0.16496288776397705,-1.2782989740371704,0.2217010259628296,-1.388503909111023,0.11149609088897705
upright,0.08,0,0.36712005734443665,5.540040493011475,1.79610013961792,0.1015428900718689,0.5530678033828735,1.1068787574768066,1,False,0.15725241601467133,0.0,True,0.22547858953475952,0.15582004189491272,-0.32337430119514465,0.1494257003068924,0.1701478362083435,-0.16714122891426086,-0.3278447687625885,-0.15375293791294098,-0.3098549246788025,0.09101089835166931,-0.3314603269100189,0.12270259857177734,-0.29876142740249634,-0.10703665018081665,-0.33030056953430176,-0.12853939831256866,0.04244481027126312,-0.057555191218853,-0.07570534199476242,0.0242946594953537,-0.15609785914421082,-0.25609785318374634,0.10710690170526505,0.20710690319538116,0.5897051692008972,-0.21029484272003174,0.7279486656188965,-0.07205134630203247,0.9911855459213257,-0.008814454078674316,0.9678100943565369,-0.032189905643463135,-1.37455415725708,0.12544584274291992,-1.3177241086959839,0.1822758913040161,-1.2853485345840454,0.2146514654159546,-1.3030431270599365,0.19695687294006348
upright,0.1,0,0.35459619760513306,4.236953258514404,0.7032926082611084,0.07493575662374496,0.6533142924308777,1.8201380968093872,1,False,0.14878906309604645,0.0,True,0.22004497051239014,0.14948144555091858,-0.31836026906967163,0.1459980458021164,0.17967531085014343,-0.1470169723033905,-0.33013397455215454,-0.14441940188407898,-0.305156409740448,0.0917641818523407,-0.3295033872127533,0.12293741106987,-0.29800185561180115,-0.11854411661624908,-0.33404913544654846,-0.1328466683626175,0.023413414135575294,-0.07658658921718597,-0.015161629766225815,0.0848383754491806,-0.15471652150154114,-0.25471651554107666,0.07081574946641922,0.17081575095653534,0.6316770315170288,-0.16832298040390015,0.7189038991928101,-0.0810961127281189,0.9931930899620056,-0.006806910037994385,0.9379552006721497,-0.06204479932785034,-1.4291462898254395,0.07085371017456055,-1.355080008506775,0.1449199914932251,-1.3116443157196045,0.1883556842803955,-1.2586877346038818,0.24131226539611816
upright,0.12,0,0.3419138193130493,2.6064043045043945,-0.12440118938684464,0.045538049191236496,0.61790531873703,1.145127534866333,4,False,0.13269168138504028,0.0,True,0.2168283462524414,0.14239385724067688,-0.31279125809669495,0.14221049845218658,0.1892354041337967,-0.13587641716003418,-0.3257339298725128,-0.13896305859088898,-0.3084450960159302,0.08294427394866943,-0.3151624798774719,0.12093302607536316,-0.30073729157447815,-0.12869277596473694,-0.32483968138694763,-0.13699278235435486,0.0012595138978213072,-0.09874048829078674,0.01884964108467102,0.11884964257478714,-0.19062960147857666,-0.2906295955181122,0.041193023324012756,0.14119303226470947,0.6680487394332886,-0.13195127248764038,0.719403088092804,-0.080596923828125,1.0711301565170288,0.07113015651702881,0.9744299054145813,-0.0255700945854187,-1.4855619668960571,0.014438033103942871,-1.4131003618240356,0.08689963817596436,-1.4155219793319702,0.08447802066802979,-1.3038058280944824,0.19619417190551758
upright,0.14,0,0.3334813714027405,3.446213483810425,0.07958865165710449,0.060154661536216736,0.37806448340415955,1.4189273118972778,4,False,0.12124504148960114,0.0,True,0.21954011917114258,0.14912189543247223,-0.3012847900390625,0.14584843814373016,0.19267618656158447,-0.12895330786705017,-0.31820952892303467,-0.1354496031999588,-0.30532169342041016,0.08856919407844543,-0.30643823742866516,0.12354269623756409,-0.29707807302474976,-0.12292684614658356,-0.3191629648208618,-0.13491147756576538,0.02354496158659458,-0.07645504176616669,0.04123231768608093,0.14123231172561646,-0.1774473786354065,-0.277447372674942,0.06022996827960014,0.16022996604442596,0.6877853870391846,-0.11221462488174438,0.7424632906913757,-0.05753672122955322,1.1028828620910645,0.10288286209106445,1.0011204481124878,0.001120448112487793,-1.5473343133926392,-0.04733431339263916,-1.4803228378295898,0.019677162170410156,-1.4787267446517944,0.021273255348205566,-1.3643803596496582,0.1356196403503418
upright,0.16,0,0.32914069294929504,3.9830610752105713,0.27898889780044556,0.06967266649007797,0.23025846481323242,0.1940661370754242,4,False,0.12059467285871506,0.02,True,0.22232234477996826,0.1542632281780243,-0.2945348918437958,0.14869284629821777,0.19623148441314697,-0.12368032336235046,-0.3141786754131317,-0.1326790153980255,-0.30220067501068115,0.09243473410606384,-0.3021835386753082,0.12506839632987976,-0.2933554947376251,-0.118937648832798,-0.31685537099838257,-0.13341741263866425,0.04133540391921997,-0.05866459757089615,0.058767955750226974,0.1587679535150528,-0.16690944135189056,-0.2669094502925873,0.0734681561589241,0.17346815764904022,0.6925094723701477,-0.10749053955078125,0.7496944665908813,-0.05030554533004761,1.1141258478164673,0.11412584781646729,1.0092837810516357,0.009283781051635742,-1.5780487060546875,-0.0780487060546875,-1.5177085399627686,-0.017708539962768555,-1.5112019777297974,-0.011201977729797363,-1.3960298299789429,0.10397017002105713
upright,0.18,0,0.32708674669265747,3.7511966228485107,0.2868100702762604,0.06564893573522568,0.17869015038013458,0.3577773869037628,4,False,0.12132305651903152,0.04,True,0.22413605451583862,0.15564154088497162,-0.2928687036037445,0.14948919415473938,0.19884636998176575,-0.12244442105293274,-0.31137093901634216,-0.13195951282978058,-0.3001963198184967,0.09205275774002075,-0.3004518449306488,0.12495872378349304,-0.29069674015045166,-0.11937440186738968,-0.3142545223236084,-0.13359563052654266,0.046199068427085876,-0.05380093306303024,0.06333697587251663,0.16333697736263275,-0.16921034455299377,-0.2692103385925293,0.07267305254936218,0.1726730465888977,0.6892580986022949,-0.11074191331863403,0.7516661882400513,-0.048333823680877686,1.1184837818145752,0.1184837818145752,1.0156090259552002,0.015609025955200195,-1.584346890449524,-0.08434689044952393,-1.5389329195022583,-0.0389329195022583,-1.5278732776641846,-0.02787327766418457,-1.419510006904602,0.08048999309539795
upright,0.2,0,0.3261675536632538,3.4436306953430176,0.2855376899242401,0.06029883027076721,0.16186530888080597,0.3174450397491455,4,False,0.12211442738771439,0.06,True,0.22583898901939392,0.15679559111595154,-0.2925991415977478,0.15015964210033417,0.20139679312705994,-0.12146493792533875,-0.30959537625312805,-0.13136297464370728,-0.2983231544494629,0.0912759006023407,-0.29993459582328796,0.12461656332015991,-0.2881123125553131,-0.12019158154726028,-0.31258878111839294,-0.13388583064079285,0.05011465400457382,-0.0498853474855423,0.06692057847976685,0.16692057251930237,-0.172173872590065,-0.2721738815307617,0.07040932774543762,0.17040932178497314,0.6825388073921204,-0.1174612045288086,0.7498608231544495,-0.05013918876647949,1.117786169052124,0.11778616905212402,1.017249345779419,0.017249345779418945,-1.5821105241775513,-0.08211052417755127,-1.5523390769958496,-0.05233907699584961,-1.5364452600479126,-0.0364452600479126,-1.4353296756744385,0.06467032432556152
