pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s,geometry_ok,FL_foot_x_b,FL_foot_y_b,FL_foot_z_b,FL_knee_y_b,FR_foot_x_b,FR_foot_y_b,FR_foot_z_b,FR_knee_y_b,RL_foot_x_b,RL_foot_y_b,RL_foot_z_b,RL_knee_y_b,RR_foot_x_b,RR_foot_y_b,RR_foot_z_b,RR_knee_y_b,FL_hip_joint,FL_hip_joint_offset,FR_hip_joint,FR_hip_joint_offset,RL_hip_joint,RL_hip_joint_offset,RR_hip_joint,RR_hip_joint_offset,FL_thigh_joint,FL_thigh_joint_offset,FR_thigh_joint,FR_thigh_joint_offset,RL_thigh_joint,RL_thigh_joint_offset,RR_thigh_joint,RR_thigh_joint_offset,FL_calf_joint,FL_calf_joint_offset,FR_calf_joint,FR_calf_joint_offset,RL_calf_joint,RL_calf_joint_offset,RR_calf_joint,RR_calf_joint_offset
side,0.02,0,0.1540992558002472,98.01744842529297,179.95367431640625,1.509619116783142,0.12788644433021545,1.1181426048278809,1,False,0.13614188134670258,0.0,True,0.19860368967056274,0.17683085799217224,-0.33987557888031006,0.15935294330120087,0.19886207580566406,-0.15555593371391296,-0.29809248447418213,-0.14885130524635315,-0.260759562253952,0.17804288864135742,-0.31656700372695923,0.15680533647537231,-0.28153833746910095,-0.14950430393218994,-0.3178895115852356,-0.14490652084350586,0.10070842504501343,0.0007084235548973083,-0.04511849209666252,0.0548815093934536,0.11150555312633514,0.011505551636219025,-0.02351926639676094,0.07648073136806488,0.5864234566688538,-0.2135765552520752,0.762263834476471,-0.03773617744445801,0.8636375665664673,-0.13636243343353271,0.9452725648880005,-0.05472743511199951,-1.2024731636047363,0.29752683639526367,-1.5606120824813843,-0.06061208248138428,-1.3236607313156128,0.1763392686843872,-1.3533685207366943,0.14663147926330566
side,0.04,0,0.15442533791065216,95.76263427734375,179.7406768798828,1.4835143089294434,0.0812595784664154,2.8545143604278564,0,False,0.22571325302124023,0.0,True,0.16234222054481506,0.14070700109004974,-0.37952548265457153,0.14137987792491913,0.22842901945114136,-0.1979275643825531,-0.307331383228302,-0.1717088222503662,-0.2624576985836029,0.15881210565567017,-0.3244915008544922,0.14897184073925018,-0.2931842803955078,-0.14262089133262634,-0.3321842849254608,-0.14224395155906677,-0.00340855261310935,-0.10340855270624161,-0.17532159388065338,-0.07532159239053726,0.05137646943330765,-0.04862353205680847,-0.001868813531473279,0.09813118726015091,0.5482683777809143,-0.25173163414001465,0.5752588510513306,-0.2247411608695984,0.8646820783615112,-0.13531792163848877,0.9104256629943848,-0.08957433700561523,-0.9330959916114807,0.5669040083885193,-1.3626402616500854,0.13735973834991455,-1.3165814876556396,0.18341851234436035,-1.2375216484069824,0.2624783515930176
side,0.06,0,0.15421012043952942,94.06427764892578,178.71453857421875,1.4634723663330078,0.10228738188743591,1.0660773515701294,0,False,0.2908904552459717,0.0,False,0.17414991557598114,0.10538795590400696,-0.39589783549308777,0.12388557195663452,0.2620755434036255,-0.22036902606487274,-0.2859198749065399,-0.18684938549995422,-0.2511748671531677,0.15326353907585144,-0.31416037678718567,0.1467161476612091,-0.30586832761764526,-0.13286861777305603,-0.35555005073547363,-0.13823890686035156,-0.09326031059026718,-0.1932603120803833,-0.2569480240345001,-0.1569480299949646,0.035644497722387314,-0.0643555074930191,0.025766009464859962,0.12576600909233093,0.46836501359939575,-0.3316349983215332,0.4811244308948517,-0.31887558102607727,0.8901636600494385,-0.10983633995056152,0.8235743045806885,-0.17642569541931152,-0.8377598524093628,0.6622401475906372,-1.3841387033462524,0.11586129665374756,-1.420627236366272,0.07937276363372803,-1.030610203742981,0.46938979625701904
side,0.08,0,0.15410678088665009,94.01353454589844,178.5498046875,1.462868332862854,0.11872711032629013,0.7445804476737976,1,False,0.3013506531715393,0.0,False,0.22091762721538544,0.08718131482601166,-0.39769506454467773,0.11327779293060303,0.26841768622398376,-0.21106694638729095,-0.2816300392150879,-0.18278354406356812,-0.26667270064353943,0.15545988082885742,-0.3210935890674591,0.14747656881809235,-0.2877638339996338,-0.10708487033843994,-0.3576401472091675,-0.12717944383621216,-0.13928161561489105,-0.23928162455558777,-0.2316933572292328,-0.13169336318969727,0.041637055575847626,-0.058362945914268494,0.09860929101705551,0.19860929250717163,0.348112016916275,-0.45188799500465393,0.48211145401000977,-0.3178885579109192,0.8930572867393494,-0.10694271326065063,0.8166943192481995,-0.18330568075180054,-0.8377598524093628,0.6622401475906372,-1.4363006353378296,0.06369936466217041,-1.343085527420044,0.15691447257995605,-1.1066038608551025,0.39339613914489746
side,0.1,0,0.15444108843803406,94.3834228515625,179.9949493408203,1.467263102531433,0.10176541656255722,0.41998305916786194,1,False,0.30860772728919983,0.0,True,0.2627112865447998,0.07879824936389923,-0.39032819867134094,0.10712676495313644,0.25762805342674255,-0.19446134567260742,-0.2996397018432617,-0.17207059264183044,-0.28795841336250305,0.1582595705986023,-0.3314949870109558,0.14847134053707123,-0.2720314860343933,-0.09448239207267761,-0.3530387580394745,-0.12143489718437195,-0.1637571007013321,-0.2637571096420288,-0.1688597947359085,-0.06885979324579239,0.04866936802864075,-0.05133063346147537,0.13627855479717255,0.23627856373786926,0.2557002902030945,-0.5442997217178345,0.499153733253479,-0.30084627866744995,0.8822627663612366,-0.11773723363876343,0.8229272365570068,-0.17707276344299316,-0.8723790645599365,0.6276209354400635,-1.3941737413406372,0.10582625865936279,-1.216707706451416,0.283292293548584,-1.195461630821228,0.304538369178772
side,0.12,0,0.154600590467453,94.81285858154297,-179.3621368408203,1.4723460674285889,0.06444325298070908,0.4724782705307007,1,False,0.3134743273258209,0.0,True,0.29048001766204834,0.07585535943508148,-0.3827335238456726,0.10415705293416977,0.250731885433197,-0.170852392911911,-0.30126217007637024,-0.15863525867462158,-0.2959662675857544,0.16100424528121948,-0.3348694443702698,0.14952997863292694,-0.26960039138793945,-0.0997607409954071,-0.3519255518913269,-0.12369599938392639,-0.1748817265033722,-0.2748817205429077,-0.09408486634492874,0.005915135145187378,0.05624009668827057,-0.04375990480184555,0.12143642455339432,0.22143642604351044,0.19099637866020203,-0.6090036630630493,0.5501682162284851,-0.24983179569244385,0.8743070960044861,-0.12569290399551392,0.8201175332069397,-0.1798824667930603,-0.8928186297416687,0.6071813702583313,-1.464234471321106,0.03576552867889404,-1.163905382156372,0.33609461784362793,-1.202873706817627,0.29712629318237305
side,0.14,0,0.15458275377750397,95.50811767578125,-179.35658264160156,1.4805315732955933,0.026651531457901,0.6939442753791809,1,False,0.32650482654571533,0.0,False,0.29704606533050537,0.07877720892429352,-0.38522395491600037,0.10588887333869934,0.250240683555603,-0.1550091803073883,-0.29293256998062134,-0.14969705045223236,-0.29648664593696594,0.1650438904762268,-0.3334600329399109,0.1510983258485794,-0.2747228145599365,-0.11152833700180054,-0.3525826930999756,-0.12893220782279968,-0.16603389382362366,-0.2660338878631592,-0.04406509920954704,0.05593490228056908,0.06832872331142426,-0.031671278178691864,0.08723641186952591,0.18723641335964203,0.15184536576271057,-0.648154616355896,0.5913002490997314,-0.2086997628211975,0.8750682473182678,-0.12493175268173218,0.816738486289978,-0.18326151371002197,-0.8435623645782471,0.6564376354217529,-1.5602599382400513,-0.06025993824005127,-1.1626265048980713,0.3373734951019287,-1.1712353229522705,0.3287646770477295
side,0.16,0,0.1544148027896881,96.35894775390625,-179.66366577148438,1.4904744625091553,0.004782859701663256,0.7749605178833008,1,False,0.33373817801475525,0.0,False,0.297849178314209,0.08802462369203568,-0.38462936878204346,0.11124424636363983,0.25426751375198364,-0.15545395016670227,-0.2790021598339081,-0.15023359656333923,-0.2956089377403259,0.17004179954528809,-0.3318735957145691,0.15306055545806885,-0.2837929129600525,-0.12440115213394165,-0.3563162088394165,-0.1345142424106598,-0.14189165830612183,-0.24189165234565735,-0.04779309406876564,0.05220690742135048,0.08330114930868149,-0.01669885218143463,0.04968175292015076,0.14968174695968628,0.14715954661369324,-0.6528404951095581,0.6097065210342407,-0.19029349088668823,0.872677743434906,-0.127322256565094,0.800221860408783,-0.19977813959121704,-0.8377598524093628,0.6622401475906372,-1.6418298482894897,-0.14182984828948975,-1.1629340648651123,0.3370659351348877,-1.097721815109253,0.40227818489074707
side,0.18,0,0.15422239899635315,97.11589050292969,-179.94815063476562,1.499250888824463,0.003511022077873349,0.6463317275047302,1,False,0.3421507477760315,0.0,False,0.3060024380683899,0.097823366522789,-0.38113048672676086,0.116656094789505,0.25244662165641785,-0.16868995130062103,-0.2701817750930786,-0.15825434029102325,-0.2946828603744507,0.17443862557411194,-0.33027374744415283,0.15478184819221497,-0.2940250635147095,-0.13866466283798218,-0.3577202558517456,-0.14059597253799438,-0.11709954589605331,-0.21709954738616943,-0.09681838750839233,0.0031816139817237854,0.09656280279159546,-0.0034371986985206604,0.009335155598819256,0.10933515429496765,0.12534335255622864,-0.6746566295623779,0.6246811151504517,-0.1753188967704773,0.8709821701049805,-0.12901782989501953,0.7897747159004211,-0.21022528409957886,-0.8377597332000732,0.6622402667999268,-1.6639834642410278,-0.16398346424102783,-1.1646406650543213,0.3353593349456787,-1.029850959777832,0.47014904022216797
side,0.2,0,0.15405012667179108,97.88473510742188,179.85391235351562,1.5080987215042114,0.01679525338113308,0.6952228546142578,1,False,0.3488154709339142,0.0,False,0.3243076801300049,0.10651199519634247,-0.3739452362060547,0.12125015258789062,0.24294154345989227,-0.18459734320640564,-0.266607403755188,-0.16685467958450317,-0.29406628012657166,0.1789242923259735,-0.328459233045578,0.15652041137218475,-0.30254223942756653,-0.15340182185173035,-0.3531857132911682,-0.14670652151107788,-0.09578362107276917,-0.1957836151123047,-0.1542377471923828,-0.05423774570226669,0.11019440740346909,0.010194405913352966,-0.03213251009583473,0.06786748766899109,0.07581191509962082,-0.7241880893707275,0.6530985236167908,-0.14690148830413818,0.8702628016471863,-0.12973719835281372,0.8023852109909058,-0.19761478900909424,-0.837759792804718,0.662240207195282,-1.6508228778839111,-0.15082287788391113,-1.1664607524871826,0.3335392475128174,-1.0104960203170776,0.48950397968292236
