pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s,geometry_ok,FL_foot_x_b,FL_foot_y_b,FL_foot_z_b,FL_knee_y_b,FR_foot_x_b,FR_foot_y_b,FR_foot_z_b,FR_knee_y_b,RL_foot_x_b,RL_foot_y_b,RL_foot_z_b,RL_knee_y_b,RR_foot_x_b,RR_foot_y_b,RR_foot_z_b,RR_knee_y_b,FL_hip_joint,FL_hip_joint_offset,FR_hip_joint,FR_hip_joint_offset,RL_hip_joint,RL_hip_joint_offset,RR_hip_joint,RR_hip_joint_offset,FL_thigh_joint,FL_thigh_joint_offset,FR_thigh_joint,FR_thigh_joint_offset,RL_thigh_joint,RL_thigh_joint_offset,RR_thigh_joint,RR_thigh_joint_offset,FL_calf_joint,FL_calf_joint_offset,FR_calf_joint,FR_calf_joint_offset,RL_calf_joint,RL_calf_joint_offset,RR_calf_joint,RR_calf_joint_offset
side,0.02,0,0.154163658618927,97.80133056640625,179.98147583007812,1.5071419477462769,0.10880095511674881,0.6640790104866028,1,False,0.1351059079170227,0.0,True,0.19612820446491241,0.17207343876361847,-0.3423842787742615,0.15693838894367218,0.20179474353790283,-0.14900454878807068,-0.28115299344062805,-0.1456041783094406,-0.2422277331352234,0.1742912232875824,-0.29813069105148315,0.15550348162651062,-0.2959434390068054,-0.15232712030410767,-0.315527081489563,-0.1458260715007782,0.08657065778970718,-0.013429343700408936,-0.024803852662444115,0.07519614696502686,0.1061011254787445,0.0061011239886283875,-0.03255779296159744,0.06744220852851868,0.5906785726547241,-0.20932143926620483,0.8123176097869873,0.01231759786605835,0.8989371657371521,-0.1010628342628479,0.9774749875068665,-0.022525012493133545,-1.1968594789505005,0.3031405210494995,-1.6838173866271973,-0.18381738662719727,-1.4854103326797485,0.014589667320251465,-1.3325525522232056,0.16744744777679443
side,0.04,0,0.15439742803573608,95.95159912109375,179.53155517578125,1.4857242107391357,0.11550550907850266,2.2358195781707764,0,False,0.20332065224647522,0.0,True,0.16709144413471222,0.1357734054327011,-0.3815646171569824,0.1389879435300827,0.21852348744869232,-0.16809147596359253,-0.281932532787323,-0.156052827835083,-0.24674198031425476,0.15732556581497192,-0.30716055631637573,0.14841853082180023,-0.30591440200805664,-0.1263810396194458,-0.31929248571395874,-0.1363169252872467,-0.016350485384464264,-0.11635048687458038,-0.09089046716690063,0.009109534323215485,0.04947357624769211,-0.05052642524242401,0.04924113303422928,0.1492411345243454,0.5330861806869507,-0.26691383123397827,0.7268422842025757,-0.07315772771835327,0.9014937281608582,-0.09850627183914185,1.0109763145446777,0.010976314544677734,-0.9279471039772034,0.5720528960227966,-1.6254507303237915,-0.1254507303237915,-1.4646085500717163,0.03539144992828369,-1.335770845413208,0.164229154586792
side,0.06,0,0.1541225165128708,93.94024658203125,177.62892150878906,1.4619958400726318,0.11129553616046906,1.6622875928878784,0,False,0.2535914480686188,0.0,False,0.1730421632528305,0.09330295026302338,-0.3973042368888855,0.11784697324037552,0.23087669909000397,-0.17871803045272827,-0.2676538825035095,-0.1626952588558197,-0.24676907062530518,0.14684394001960754,-0.3071806728839874,0.14402946829795837,-0.322665274143219,-0.10691118240356445,-0.3331368565559387,-0.12897127866744995,-0.12378622591495514,-0.22378623485565186,-0.1332026869058609,-0.03320268541574478,0.01572924666106701,-0.08427075296640396,0.10655871778726578,0.2065587192773819,0.4721110761165619,-0.32788893580436707,0.70518958568573,-0.09481042623519897,0.9156504273414612,-0.08434957265853882,0.9869873523712158,-0.01301264762878418,-0.8395110368728638,0.6604889631271362,-1.6738413572311401,-0.17384135723114014,-1.4889436960220337,0.011056303977966309,-1.2164870500564575,0.2835129499435425
side,0.08,0,0.15460903942584991,92.83129119873047,-179.73434448242188,1.4487202167510986,0.07904188334941864,1.4732385873794556,1,False,0.27733471989631653,0.0,False,0.2074984461069107,0.06405815482139587,-0.39913901686668396,0.10147683322429657,0.23160642385482788,-0.16700665652751923,-0.2583472728729248,-0.15647873282432556,-0.2571507692337036,0.1479438841342926,-0.30744224786758423,0.14440706372261047,-0.33251693844795227,-0.09751048684120178,-0.33550649881362915,-0.1255565881729126,-0.1974092721939087,-0.2974092662334442,-0.0948406308889389,0.005159370601177216,0.01927335560321808,-0.08072664588689804,0.13437968492507935,0.23437967896461487,0.3881211578845978,-0.4118788540363312,0.7390857338905334,-0.06091427803039551,0.9388679265975952,-0.061132073402404785,0.9931517839431763,-0.0068482160568237305,-0.8488948345184326,0.6511051654815674,-1.7607616186141968,-0.2607616186141968,-1.4712533950805664,0.028746604919433594,-1.178837776184082,0.32116222381591797
side,0.1,0,0.15507744252681732,91.85742950439453,-175.8882598876953,1.4369499683380127,0.08972614258527756,0.9950220584869385,1,False,0.30333366990089417,0.0,False,0.2536330223083496,0.03990533947944641,-0.39298731088638306,0.08567523956298828,0.2262158989906311,-0.1476709246635437,-0.254376083612442,-0.14530031383037567,-0.262434720993042,0.1425178050994873,-0.3070923089981079,0.1422058641910553,-0.3420923352241516,-0.10216900706291199,-0.33567139506340027,-0.1274416744709015,-0.2622115910053253,-0.36221158504486084,-0.022197334095835686,0.07780266553163528,0.0016859393799677491,-0.0983140617609024,0.1201452910900116,0.22014528512954712,0.2801678776741028,-0.5198321342468262,0.7910979390144348,-0.00890207290649414,0.9598791003227234,-0.04012089967727661,0.9964422583580017,-0.003557741641998291,-0.8737098574638367,0.6262901425361633,-1.836632490158081,-0.33663249015808105,-1.4777296781539917,0.0222703218460083,-1.138375997543335,0.36162400245666504
side,0.12,0,0.15533019602298737,91.26878356933594,-171.1187744140625,1.4297850131988525,0.07734324783086777,0.4739018678665161,1,False,0.3212406635284424,0.0,False,0.29110705852508545,0.025409087538719177,-0.3823009133338928,0.07431820034980774,0.2207484245300293,-0.12966176867485046,-0.2536211311817169,-0.13485223054885864,-0.26567453145980835,0.1392756700515747,-0.3072872459888458,0.14092843234539032,-0.35124701261520386,-0.11851054430007935,-0.3286801278591156,-0.13375666737556458,-0.3071976900100708,-0.4071976840496063,0.04906267300248146,0.14906267821788788,-0.008878395892679691,-0.10887839645147324,0.07209720462560654,0.17209720611572266,0.19315597414970398,-0.6068440675735474,0.8322086930274963,0.03220868110656738,0.9706659913063049,-0.02933400869369507,1.0226798057556152,0.022679805755615234,-0.9016321897506714,0.5983678102493286,-1.8830004930496216,-0.3830004930496216,-1.4781101942062378,0.021889805793762207,-1.1353625059127808,0.36463749408721924
side,0.14,0,0.15539893507957458,91.60081481933594,-172.17388916015625,1.4338310956954956,0.05411719158291817,0.6759762167930603,1,False,0.34706535935401917,0.0,False,0.3060847520828247,0.022110238671302795,-0.381661057472229,0.07163716852664948,0.22186988592147827,-0.11655694246292114,-0.2435569018125534,-0.1267460584640503,-0.26719141006469727,0.14102283120155334,-0.30672112107276917,0.14161816239356995,-0.36423707008361816,-0.14116361737251282,-0.31642696261405945,-0.1417253613471985,-0.31620046496391296,-0.4162004590034485,0.10628826171159744,0.20628826320171356,-0.003187748836353421,-0.10318774729967117,0.00264419405721128,0.10264419764280319,0.13534998893737793,-0.664650022983551,0.8616310954093933,0.061631083488464355,0.9742605090141296,-0.02573949098587036,1.0622097253799438,0.06220972537994385,-0.8614710569381714,0.6385289430618286,-1.9646391868591309,-0.46463918685913086,-1.4758830070495605,0.024116992950439453,-1.1336530447006226,0.36634695529937744
side,0.16,0,0.1553470641374588,92.64596557617188,-175.3317413330078,1.446488380432129,0.03962499648332596,1.2505865097045898,1,False,0.35565441846847534,0.0,False,0.30902886390686035,0.029910579323768616,-0.3833131194114685,0.07641617953777313,0.2271956503391266,-0.11910276114940643,-0.23262888193130493,-0.1276244819164276,-0.26662519574165344,0.1466297209262848,-0.3054782748222351,0.1438075602054596,-0.37442681193351746,-0.16488432884216309,-0.3004767596721649,-0.14891397953033447,-0.2948082983493805,-0.394808292388916,0.10015993565320969,0.2001599371433258,0.015118629671633244,-0.08488137274980545,-0.07511981576681137,0.02488018572330475,0.11720962822437286,-0.6827903985977173,0.8599386215209961,0.05993860960006714,0.9707486033439636,-0.029251396656036377,1.1047399044036865,0.10473990440368652,-0.8377598524093628,0.6622401475906372,-2.019094467163086,-0.5190944671630859,-1.4731467962265015,0.026853203773498535,-1.148210883140564,0.35178911685943604
side,0.18,0,0.15530692040920258,93.419189453125,-176.337646484375,1.4557747840881348,0.07160186767578125,0.6796361804008484,1,False,0.35778969526290894,0.0,False,0.31248947978019714,0.036189913749694824,-0.38247236609458923,0.07993913441896439,0.22835645079612732,-0.13638971745967865,-0.2257395088672638,-0.1384829729795456,-0.2656433582305908,0.1507914662361145,-0.30533063411712646,0.14544405043125153,-0.3890111744403839,-0.19940432906150818,-0.27991417050361633,-0.1579524576663971,-0.27921801805496216,-0.3792180120944977,0.024979643523693085,0.1249796450138092,0.02865709364414215,-0.07134290784597397,-0.19588220119476318,-0.09588219970464706,0.10788236558437347,-0.6921176314353943,0.8559933304786682,0.05599331855773926,0.9634031653404236,-0.036596834659576416,1.1275746822357178,0.12757468223571777,-0.8377597332000732,0.6622402667999268,-2.0223867893218994,-0.5223867893218994,-1.4663021564483643,0.03369784355163574,-1.1125859022140503,0.3874140977859497
side,0.2,0,0.15534436702728271,93.98306274414062,-176.60357666015625,1.4625053405761719,0.14777380228042603,0.682778537273407,1,False,0.3750980496406555,0.0,False,0.3194657564163208,0.03500697761774063,-0.3801960349082947,0.07872699201107025,0.22447827458381653,-0.15334659814834595,-0.21066397428512573,-0.14898985624313354,-0.265555739402771,0.15389394760131836,-0.3059343993663788,0.14667083323001862,-0.40557560324668884,-0.23677337169647217,-0.2469516098499298,-0.16492775082588196,-0.28400731086730957,-0.3840073049068451,-0.05316950008273125,0.04683050140738487,0.03862577676773071,-0.061374224722385406,-0.34514695405960083,-0.2451469600200653,0.08899492770433426,-0.7110050916671753,0.8899886608123779,0.08998864889144897,0.9563268423080444,-0.043673157691955566,1.163307785987854,0.163307785987854,-0.8377597332000732,0.6622402667999268,-2.065716505050659,-0.5657165050506592,-1.4550670385360718,0.04493296146392822,-1.0852171182632446,0.41478288173675537
