step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,wz,push_delta_vy,joint_rms_deviation,stance_geometry_ok,current_vertical_foot_contacts,current_base_contact,current_base_force_n,max_joint_offset_rad,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_vertical_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_vertical_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_vertical_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_vertical_contact,RR_foot_speed_xy,FL_knee_y_b,FR_knee_y_b,RL_knee_y_b,RR_knee_y_b,FL_hip_joint_offset_rad,FR_hip_joint_offset_rad,RL_hip_joint_offset_rad,RR_hip_joint_offset_rad,FL_thigh_joint_offset_rad,FR_thigh_joint_offset_rad,RL_thigh_joint_offset_rad,RR_thigh_joint_offset_rad,FL_calf_joint_offset_rad,FR_calf_joint_offset_rad,RL_calf_joint_offset_rad,RR_calf_joint_offset_rad
11,0.22,stand,0.0,0.0,0.0,0.3337310552597046,-0.00899610947817564,0.0007750886725261807,0.06571260839700699,0.006111450493335724,-0.6205964307943534,-1.5788673823137938,4,0,0,-0.06278163194656372,0.019406523555517197,-0.0676017552614212,0.018319614231586456,0.006111450493335724,0.0,0.09996426105499268,1,4,0,0.0,0.16673922538757324,0.220209538936615,0.1483146846294403,0.023460470139980316,47.697086334228516,1,1,0.033759381622076035,0.15159256756305695,-0.16553358733654022,0.02313382923603058,58.972389221191406,1,1,0.020815974101424217,-0.331944078207016,0.1331658661365509,0.022540554404258728,34.22780990600586,1,1,0.006771332584321499,-0.29324281215667725,-0.13089413940906525,0.022859372198581696,31.50580596923828,1,1,0.015694309026002884,0.1453792005777359,-0.15231089293956757,0.139198437333107,-0.13810372352600098,-0.08020903170108795,0.02581876516342163,-0.12922273576259613,0.13703510165214539,-0.16673922538757324,0.03685492277145386,0.11116111278533936,0.06359732151031494,0.06632840633392334,0.0852506160736084,0.14052116870880127,0.01902639865875244
12,0.24,stand,0.0,0.0,0.0,0.3299138844013214,-0.010239916853606701,0.0012116673169657588,0.06674591451883316,0.008149745874106884,-0.8385279703330378,-1.5641473641570642,4,0,0,-0.062057867646217346,0.024573126807808876,-0.06686079502105713,0.022716490551829338,0.008149745874106884,0.0,0.09587789326906204,1,4,0,0.0,0.15780752897262573,0.2212393879890442,0.14671501517295837,0.023491866886615753,49.254764556884766,1,1,0.025885920971632004,0.15265251696109772,-0.16707125306129456,0.023158982396125793,60.567169189453125,1,1,0.02239568531513214,-0.33079591393470764,0.1316526085138321,0.022564992308616638,37.33974075317383,1,1,0.013576960191130638,-0.2921218276023865,-0.1324082314968109,0.02288299798965454,33.030181884765625,1,1,0.01295874360948801,0.14453835785388947,-0.15294945240020752,0.1387762427330017,-0.1386827826499939,-0.08505508303642273,0.01993049681186676,-0.13462390005588531,0.13242465257644653,-0.15780752897262573,0.049091637134552,0.12689757347106934,0.07796275615692139,0.039992451667785645,0.05727386474609375,0.11211657524108887,-0.00867009162902832
13,0.26,stand,0.0,0.0,0.0,0.32608914375305176,-0.011469962075352669,0.0017395354807376862,0.06766825169324875,0.007238434161990881,-1.019832086839,-1.5623213557711437,4,0,0,-0.06130373850464821,0.02865038439631462,-0.0659942775964737,0.02621680125594139,0.007238434161990881,0.0,0.09507618099451065,1,4,0,0.0,0.14889401197433472,0.22219112515449524,0.14523786306381226,0.023505210876464844,51.446388244628906,1,1,0.03295515477657318,0.15363432466983795,-0.16847369074821472,0.02318394184112549,60.77330780029297,1,1,0.019328951835632324,-0.32971692085266113,0.13027432560920715,0.022587083280086517,37.70818328857422,1,1,0.006223129574209452,-0.2910807430744171,-0.13377991318702698,0.022901490330696106,34.352603912353516,1,1,0.012911911122500896,0.14375366270542145,-0.15352506935596466,0.13841737806797028,-0.1391996294260025,-0.0896187424659729,0.014353401958942413,-0.13971534371376038,0.12817417085170746,-0.14889401197433472,0.060905635356903076,0.1431514024734497,0.09236860275268555,0.013983726501464844,0.030469894409179688,0.08349692821502686,-0.03589320182800293
14,0.28,stand,0.0,0.0,0.0,0.3223395347595215,-0.012685637921094894,0.0023361938074231148,0.06822876632213593,0.005852377973496914,-1.1551152958519153,-1.5677648030962323,4,0,0,-0.060568079352378845,0.031411346048116684,-0.06508690863847733,0.02863546460866928,0.005852377973496914,0.0,0.09737303107976913,1,4,0,0.0,0.15940916538238525,0.2230878621339798,0.14397671818733215,0.023530028760433197,52.71815490722656,1,1,0.03191237151622772,0.15457864105701447,-0.16966032981872559,0.023206442594528198,59.82987976074219,1,1,0.020974216982722282,-0.3286931812763214,0.12909795343875885,0.022610463201999664,39.407352447509766,1,1,0.007282956037670374,-0.2900789678096771,-0.13495180010795593,0.022928431630134583,32.86225891113281,1,1,0.014212435111403465,0.1430770605802536,-0.15400654077529907,0.138139009475708,-0.13963493704795837,-0.09358840435743332,0.009393274784088135,-0.14424806833267212,0.12448887526988983,-0.14018666744232178,0.07198351621627808,0.15940916538238525,0.10631740093231201,-0.011433720588684082,0.005174040794372559,0.0553508996963501,-0.06209874153137207
15,0.3,stand,0.0,0.0,0.0,0.3187151551246643,-0.013885816559195518,0.002981659024953842,0.06841346621513367,0.004949280526489019,-1.2548623112737238,-1.5784833976163921,4,0,0,-0.05973874405026436,0.03334193304181099,-0.0640772357583046,0.03038535825908184,0.004949280526489019,0.0,0.10218668729066849,1,4,0,0.0,0.17532789707183838,0.22394786775112152,0.1428765505552292,0.023557648062705994,53.55996322631836,1,1,0.024634290486574173,0.15549087524414062,-0.17070169746875763,0.02322852611541748,59.32221984863281,1,1,0.021664589643478394,-0.3277069330215454,0.12806689739227295,0.022632785141468048,41.043190002441406,1,1,0.012244236655533314,-0.2891121506690979,-0.13598443567752838,0.022941917181015015,34.01195526123047,1,1,0.012629460543394089,0.1424805372953415,-0.15442609786987305,0.13791941106319427,-0.14001135528087616,-0.09712408483028412,0.004857666790485382,-0.14838646352291107,0.1211785078048706,-0.13192212581634521,0.0822102427482605,0.17532789707183838,0.11951076984405518,-0.03585708141326904,-0.018441200256347656,0.02807474136352539,-0.08687520027160645
16,0.32,stand,0.0,0.0,0.0,0.3152579069137573,-0.015065329149365425,0.0036605638451874256,0.06807531416416168,0.0026028777938336134,-1.3178556518848703,-1.5872191028431326,4,0,0,-0.0585806779563427,0.034677840769290924,-0.06268102675676346,0.03171496093273163,0.0026028777938336134,0.0,0.10872059315443039,1,4,0,0.0,0.19048309326171875,0.2248067557811737,0.141934335231781,0.02357122302055359,54.38221740722656,1,1,0.030018698424100876,0.15640871226787567,-0.17157702147960663,0.023247994482517242,58.7669677734375,1,1,0.016772940754890442,-0.32671618461608887,0.12718668580055237,0.02265293151140213,40.43626403808594,1,1,0.007836932316422462,-0.28814467787742615,-0.136859729886055,0.02296469360589981,34.764434814453125,1,1,0.010972217656672001,0.14196382462978363,-0.15477798879146576,0.13775457441806793,-0.14032459259033203,-0.10021829605102539,0.0008486732840538025,-0.1520795226097107,0.11832485347986221,-0.1242867112159729,0.09145420789718628,0.19048309326171875,0.13167786598205566,-0.05911660194396973,-0.04036378860473633,0.002044081687927246,-0.11002957820892334
17,0.34,stand,0.0,0.0,0.0,0.31201231479644775,-0.016218390315771103,0.004356937482953072,0.06704290211200714,0.0021644155494868755,-1.3372701444355144,-1.5896261041953275,4,0,0,-0.05717756971716881,0.0350068062543869,-0.06095727160573006,0.03223862498998642,0.0021644155494868755,0.0,0.11614829301834106,1,4,0,0.0,0.204573392868042,0.22567740082740784,0.14122211933135986,0.023591816425323486,55.195159912109375,1,1,0.02938670478761196,0.15734678506851196,-0.17222906649112701,0.023274049162864685,57.7273063659668,1,1,0.01975121535360813,-0.3257206678390503,0.12651805579662323,0.022673457860946655,42.23649597167969,1,1,0.009330243803560734,-0.287156343460083,-0.13752993941307068,0.022987835109233856,33.13673400878906,1,1,0.014158360660076141,0.1415683776140213,-0.15504039824008942,0.13765643537044525,-0.14056147634983063,-0.10261024534702301,-0.002402007579803467,-0.15507712960243225,0.11612029373645782,-0.11734837293624878,0.09964251518249512,0.204573392868042,0.14248323440551758,-0.08114504814147949,-0.06055927276611328,-0.022357940673828125,-0.13120520114898682
18,0.36,stand,0.0,0.0,0.0,0.30902308225631714,-0.017341453582048416,0.005057370290160179,0.06570034474134445,0.002777991583570838,-1.3334647685724652,-1.585692875728752,4,0,0,-0.05564926564693451,0.03492411598563194,-0.05905921012163162,0.03244724124670029,0.002777991583570838,0.0,0.12383080273866653,1,4,0,0.0,0.21731317043304443,0.22656556963920593,0.140623539686203,0.023614119738340378,55.851722717285156,1,1,0.02195890061557293,0.15829697251319885,-0.1727859377861023,0.023291483521461487,57.69929122924805,1,1,0.020876741036772728,-0.32471370697021484,0.125956192612648,0.022690914571285248,43.8819465637207,1,1,0.009888905100524426,-0.28616082668304443,-0.13809926807880402,0.02299654483795166,34.08541488647461,1,1,0.013189795427024364,0.1412314623594284,-0.15526916086673737,0.13758835196495056,-0.14075857400894165,-0.10466744750738144,-0.005290135741233826,-0.15770860016345978,0.11421462893486023,-0.11128932237625122,0.10664832592010498,0.21731317043304443,0.1518031358718872,-0.10155916213989258,-0.07875943183898926,-0.044812560081481934,-0.15018224716186523
19,0.38,stand,0.0,0.0,0.0,0.3063325881958008,-0.018429778516292572,0.005753333680331707,0.0639701560139656,0.00114524329546839,-1.3131886049693418,-1.5726633293916008,4,0,0,-0.05381711944937706,0.03458177298307419,-0.056774985045194626,0.03248322382569313,0.00114524329546839,0.0,0.13127854466438293,1,4,0,0.0,0.22842490673065186,0.22748088836669922,0.14008891582489014,0.02362506464123726,56.53588104248047,1,1,0.027657203376293182,0.15927192568778992,-0.17326611280441284,0.02330620586872101,57.393062591552734,1,1,0.013276497833430767,-0.3236798048019409,0.1254621297121048,0.022707819938659668,42.81657409667969,1,1,0.011094474233686924,-0.2851480543613434,-0.13859127461910248,0.023021459579467773,33.95070266723633,1,1,0.01410741452127695,0.1409263163805008,-0.1554737687110901,0.13753394782543182,-0.1409250795841217,-0.10654401034116745,-0.007855892181396484,-0.16008169949054718,0.11253642290830612,-0.10624617338180542,0.11241000890731812,0.22842490673065186,0.15956592559814453,-0.12010300159454346,-0.09493529796600342,-0.06506609916687012,-0.16694378852844238
20,0.4,stand,0.0,0.0,0.0,0.3039773106575012,-0.019480017945170403,0.006431881804019213,0.061648327857255936,0.0015118872979655862,-1.273069567888568,-1.5539421010417132,4,0,0,-0.051862720400094986,0.03332828730344772,-0.05432235077023506,0.03167983517050743,0.0015118872979655862,0.0,0.1380673050880432,1,4,0,0.0,0.2378779649734497,0.22840158641338348,0.13968083262443542,0.023640524595975876,57.47950744628906,1,1,0.026635002344846725,0.16025300323963165,-0.17362411320209503,0.023320376873016357,56.26044845581055,1,1,0.01936797983944416,-0.3226570188999176,0.12507997453212738,0.022723592817783356,43.397361755371094,1,1,0.01441763062030077,-0.2841366231441498,-0.13898034393787384,0.02303529530763626,33.7333984375,1,1,0.013831393793225288,0.14068913459777832,-0.15563534200191498,0.13750247657299042,-0.14105436205863953,-0.10801275819540024,-0.009908512234687805,-0.16201451420783997,0.11119242012500763,-0.10223430395126343,0.11689913272857666,0.2378779649734497,0.16564428806304932,-0.13653862476348877,-0.10892593860626221,-0.08293735980987549,-0.18123483657836914
