pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s
side,0.02,0,0.6868937611579895,20.173709869384766,-3.6755001544952393,0.35510656237602234,0.17421796917915344,4.714044570922852,0,False,0.17550872266292572,0.0
side,0.04,0,0.6800628304481506,20.690872192382812,-3.0725622177124023,0.3624277710914612,0.4911331534385681,2.045950174331665,0,False,0.36680230498313904,0.0
side,0.06,0,0.6675330400466919,22.98656463623047,-2.7870678901672363,0.40081581473350525,0.705167829990387,1.7032305002212524,0,False,0.4307436943054199,0.0
side,0.08,0,0.6538485288619995,21.141252517700195,-2.623427391052246,0.3692057430744171,0.6965419054031372,2.46423077583313,0,False,0.43655458092689514,0.0
side,0.1,0,0.6374228000640869,18.950944900512695,-1.733810305595398,0.3304251730442047,0.9354829788208008,1.9549400806427002,0,False,0.45218244194984436,0.0
side,0.12,0,0.6159653067588806,19.25766944885254,-0.749441385269165,0.33474498987197876,1.1950843334197998,0.956173837184906,0,False,0.49241045117378235,0.0
side,0.14,0,0.5904052257537842,17.92887306213379,-0.7161687016487122,0.311858594417572,1.3239099979400635,1.5549029111862183,0,False,0.48585045337677,0.0
side,0.16,0,0.5617437958717346,16.03339195251465,-0.4302220940589905,0.2790130376815796,1.5275672674179077,1.6580675840377808,0,False,0.49404841661453247,0.0
side,0.18,0,0.5281853675842285,14.471729278564453,-0.25107958912849426,0.25194305181503296,1.7635174989700317,1.1013215780258179,0,False,0.505993127822876,0.0
side,0.2,0,0.49127209186553955,14.430153846740723,-0.09971708804368973,0.2511940598487854,1.918986201286316,0.14927156269550323,0,False,0.5102295875549316,0.0
side,0.22,0,0.45035654306411743,13.12979507446289,-0.253152996301651,0.22869651019573212,2.1098883152008057,1.385069727897644,0,False,0.5053046941757202,0.0
side,0.24,0,0.40716636180877686,10.683349609375,0.7152114510536194,0.18658624589443207,2.1730782985687256,3.7564914226531982,1,False,0.48467645049095154,0.0
side,0.26,0,0.36439305543899536,6.491436958312988,3.7725958824157715,0.13066644966602325,2.1473042964935303,5.138099670410156,2,False,0.47977861762046814,0.0
side,0.28,0,0.32653141021728516,1.7400377988815308,6.3570027351379395,0.11490321904420853,1.8629522323608398,3.9178621768951416,2,False,0.4748077094554901,0.0
side,0.3,0,0.2920783758163452,0.25117072463035583,8.746283531188965,0.15256410837173462,1.705880045890808,3.3556230068206787,2,False,0.5018870830535889,0.0
side,0.32,0,0.26233428716659546,8.864225387573242,9.413716316223145,0.223338782787323,1.476315975189209,7.327567100524902,2,False,0.49865031242370605,0.0
side,0.34,0,0.23612383008003235,16.160579681396484,9.2455472946167,0.3195093274116516,1.2895528078079224,6.572449684143066,3,False,0.5149533152580261,0.0
side,0.36,0,0.21526828408241272,21.827503204345703,8.640165328979492,0.40197649598121643,1.0650501251220703,4.963250160217285,3,False,0.548171877861023,0.0
side,0.38,0,0.1998036652803421,25.077373504638672,7.505353927612305,0.4486517906188965,0.9650643467903137,2.8827614784240723,3,False,0.5812774300575256,0.0
side,0.4,0,0.1874811351299286,27.13093376159668,6.271427154541016,0.47803664207458496,0.9950862526893616,2.3391926288604736,3,False,0.6111629605293274,0.0
side,0.42,0,0.1786961555480957,28.878385543823242,5.60034704208374,0.5051007270812988,0.8740420937538147,2.479489803314209,3,False,0.6354726552963257,0.0
side,0.44,0,0.17791061103343964,29.895517349243164,5.6950201988220215,0.522084653377533,0.9241217970848083,1.0453890562057495,3,False,0.6372164487838745,0.0
side,0.46,0,0.17713487148284912,28.928955078125,4.739439487457275,0.5041327476501465,0.9668157696723938,1.279619812965393,2,False,0.6414711475372314,0.0
side,0.48,0,0.17567741870880127,28.52313995361328,3.805189609527588,0.49572595953941345,1.0393109321594238,0.6990078091621399,2,False,0.6614875793457031,0.0
side,0.5,0,0.1724366992712021,28.382030487060547,2.6790482997894287,0.49182698130607605,1.0457005500793457,1.3285220861434937,2,False,0.6798285841941833,0.0
side,0.52,0,0.16742034256458282,29.09886360168457,2.117338180541992,0.5033363103866577,1.109731912612915,1.3070793151855469,1,False,0.6963202953338623,0.0
side,0.54,0,0.1600186973810196,30.256519317626953,1.8563851118087769,0.5226091742515564,1.1976090669631958,1.4200712442398071,0,False,0.6890031695365906,0.0
side,0.56,0,0.14872749149799347,31.50000762939453,1.5420860052108765,0.5432944893836975,1.2709592580795288,1.422967791557312,0,False,0.6913174986839294,0.0
side,0.58,0,0.13458916544914246,34.05249786376953,0.23415987193584442,0.5856277346611023,0.8742508888244629,6.0518879890441895,0,False,0.6894383430480957,0.0
side,0.6,0,0.13586825132369995,36.91259765625,0.06347300857305527,0.6331630945205688,0.6272770166397095,2.568509578704834,0,False,0.6975648403167725,0.0
side,0.62,0,0.13667164742946625,38.492767333984375,0.08476030081510544,0.6592629551887512,0.5042650699615479,1.1227967739105225,0,False,0.7066382765769958,0.0
side,0.64,0,0.1372670829296112,39.5463752746582,0.1449149250984192,0.6765972971916199,0.3444965183734894,1.1175220012664795,0,False,0.7190623879432678,0.0
side,0.66,0,0.13810834288597107,41.029518127441406,0.16770420968532562,0.7008998990058899,0.30297577381134033,1.601592779159546,0,False,0.739912211894989,0.0
side,0.68,0,0.13907048106193542,42.41749572753906,0.06279129534959793,0.7235342264175415,0.2340986579656601,1.2930455207824707,0,False,0.7687896490097046,0.0
side,0.7000000000000001,0,0.14034239947795868,43.836700439453125,-0.020425936207175255,0.7465698719024658,0.19812320172786713,1.1716556549072266,1,False,0.7793951034545898,0.0
side,0.72,0,0.14133340120315552,44.95394515991211,0.0012390228221192956,0.7646241784095764,0.12062177807092667,0.9275287389755249,0,False,0.7876154184341431,0.0
side,0.74,0,0.14188635349273682,45.58021926879883,0.00039034674409776926,0.774712860584259,0.057513318955898285,0.5058075785636902,1,False,0.7964081764221191,0.0
side,0.76,0,0.14208996295928955,45.810001373291016,0.0001286098558921367,0.7784087061882019,0.013049593195319176,0.14217552542686462,1,False,0.8040457367897034,0.0
side,0.78,0,0.1420012265443802,45.698814392089844,-0.005993515718728304,0.7766207456588745,0.023552559316158295,0.24937523901462555,1,False,0.8083868026733398,0.0
side,0.8,0,0.14162400364875793,45.2019157409668,-0.022567832842469215,0.768621563911438,0.05052827671170235,0.5989178419113159,1,False,0.8090647459030151,0.0
side,0.8200000000000001,0,0.14094550907611847,44.35477828979492,-0.060222990810871124,0.7549511194229126,0.08317334204912186,0.9212952852249146,1,False,0.8072252869606018,0.0
side,0.84,0,0.14001396298408508,43.16112518310547,-0.14031611382961273,0.7356197834014893,0.11976195871829987,1.219714879989624,1,False,0.8040139675140381,0.0
side,0.86,0,0.1393442004919052,41.63497543334961,-0.19307181239128113,0.7107878923416138,0.14029332995414734,1.274020791053772,1,False,0.7996970415115356,0.0
side,0.88,0,0.13881643116474152,40.01991271972656,-0.27247852087020874,0.6843742728233337,0.1718551218509674,1.3898310661315918,1,False,0.7952380180358887,0.0
side,0.9,0,0.13820655643939972,38.24016571044922,-0.38913992047309875,0.6551153063774109,0.20944063365459442,1.576904535293579,1,False,0.7908919453620911,0.0
