pose,time_s,trial,height,roll_deg,pitch_deg,gravity_error,speed,angular_speed,feet_contact,base_contact,joint_rms,stable_hold_s,geometry_ok,FL_foot_x_b,FL_foot_y_b,FL_foot_z_b,FL_knee_y_b,FR_foot_x_b,FR_foot_y_b,FR_foot_z_b,FR_knee_y_b,RL_foot_x_b,RL_foot_y_b,RL_foot_z_b,RL_knee_y_b,RR_foot_x_b,RR_foot_y_b,RR_foot_z_b,RR_knee_y_b,FL_hip_joint,FL_hip_joint_offset,FR_hip_joint,FR_hip_joint_offset,RL_hip_joint,RL_hip_joint_offset,RR_hip_joint,RR_hip_joint_offset,FL_thigh_joint,FL_thigh_joint_offset,FR_thigh_joint,FR_thigh_joint_offset,RL_thigh_joint,RL_thigh_joint_offset,RR_thigh_joint,RR_thigh_joint_offset,FL_calf_joint,FL_calf_joint_offset,FR_calf_joint,FR_calf_joint_offset,RL_calf_joint,RL_calf_joint_offset,RR_calf_joint,RR_calf_joint_offset,bank_state_id
side,0.02,0,0.15432919561862946,96.70320892333984,-179.97499084472656,1.4944740533828735,0.08383835852146149,0.5504456162452698,1,False,0.11030831933021545,0.0,True,0.16502119600772858,0.16474635899066925,-0.34397226572036743,0.15263910591602325,0.21940821409225464,-0.15751893818378448,-0.29620638489723206,-0.1503632664680481,-0.28112757205963135,0.16827872395515442,-0.29802292585372925,0.15161362290382385,-0.2763766348361969,-0.17713072896003723,-0.30485743284225464,-0.15540152788162231,0.06543923169374466,-0.03456076979637146,-0.05191105976700783,0.04808894172310829,0.08674944937229156,-0.013250552117824554,-0.11275443434715271,-0.01275443285703659,0.6785172820091248,-0.1214827299118042,0.6945088505744934,-0.10549116134643555,0.999888002872467,-0.00011199712753295898,0.9465344548225403,-0.05346554517745972,-1.1956636905670166,0.3043363094329834,-1.5610789060592651,-0.06107890605926514,-1.4438756704330444,0.056124329566955566,-1.3820013999938965,0.11799860000610352,132
side,0.04,0,0.15453140437602997,94.6132583618164,179.99835205078125,1.4699859619140625,0.0723431259393692,2.1827707290649414,0,False,0.20997892320156097,0.0,True,0.11923852562904358,0.12634867429733276,-0.3800925612449646,0.1348731368780136,0.27710434794425964,-0.16335314512252808,-0.2866861820220947,-0.15551939606666565,-0.2799000144004822,0.15586546063423157,-0.29924362897872925,0.14708586037158966,-0.25988131761550903,-0.18586966395378113,-0.303197979927063,-0.1595613956451416,-0.04136953875422478,-0.1413695365190506,-0.07344961911439896,0.026550382375717163,0.04596584662795067,-0.05403415486216545,-0.14061611890792847,-0.04061611741781235,0.6439104676246643,-0.15608954429626465,0.49197643995285034,-0.3080235719680786,1.0122497081756592,0.01224970817565918,0.9022493362426758,-0.09775066375732422,-0.8988144993782043,0.6011855006217957,-1.5378178358078003,-0.03781783580780029,-1.4699889421463013,0.03001105785369873,-1.3944934606552124,0.1055065393447876,132
side,0.06,0,0.1544637233018875,93.42456817626953,179.51516723632812,1.4558395147323608,0.07773610949516296,1.081418752670288,0,False,0.2539113461971283,0.0,False,0.09664414823055267,0.0989980399608612,-0.38530001044273376,0.12261857092380524,0.3153125047683716,-0.16054470837116241,-0.28844964504241943,-0.15459416806697845,-0.27991411089897156,0.15064018964767456,-0.2969241738319397,0.14513620734214783,-0.23290148377418518,-0.1831992268562317,-0.3085741400718689,-0.16004154086112976,-0.11270945519208908,-0.2127094566822052,-0.06353557109832764,0.03646443039178848,0.028956381604075432,-0.07104361802339554,-0.13013647496700287,-0.03013647347688675,0.670136034488678,-0.12986397743225098,0.3316922187805176,-0.4683077931404114,1.029731273651123,0.029731273651123047,0.8203989267349243,-0.17960107326507568,-0.8377599120140076,0.6622400879859924,-1.4468976259231567,0.05310237407684326,-1.4976043701171875,0.0023956298828125,-1.3979392051696777,0.10206079483032227,132
side,0.08,0,0.1542869508266449,92.49919128417969,178.0060272216797,1.4447181224822998,0.07239474356174469,1.0460033416748047,0,False,0.25915834307670593,0.0,True,0.11477433145046234,0.07841452956199646,-0.3844327926635742,0.11277538537979126,0.3231739103794098,-0.14214234054088593,-0.2955125570297241,-0.14209802448749542,-0.3056468665599823,0.14623644948005676,-0.3062829375267029,0.14346922934055328,-0.20933334529399872,-0.18371421098709106,-0.31392064690589905,-0.16161257028579712,-0.16734033823013306,-0.2673403322696686,-0.00048191382666118443,0.09951809048652649,0.01380106434226036,-0.08619894087314606,-0.12957961857318878,-0.029579617083072662,0.6662395000457764,-0.1337605118751526,0.2972278594970703,-0.5027721524238586,1.0438462495803833,0.0438462495803833,0.7352312803268433,-0.26476871967315674,-0.9177826642990112,0.5822173357009888,-1.4219276905059814,0.07807230949401855,-1.387962818145752,0.11203718185424805,-1.3736859560012817,0.12631404399871826,132
side,0.1,0,0.1544944941997528,91.487060546875,177.2332763671875,1.4324462413787842,0.011444724164903164,0.9826655983924866,0,False,0.2624782919883728,0.0,True,0.14725203812122345,0.06578090786933899,-0.3846225142478943,0.10538366436958313,0.31414005160331726,-0.12026071548461914,-0.29924502968788147,-0.12702676653862,-0.32446134090423584,0.13739335536956787,-0.31183022260665894,0.14044184982776642,-0.20135220885276794,-0.18636244535446167,-0.32145950198173523,-0.16333913803100586,-0.2005111128091812,-0.30051112174987793,0.07337676733732224,0.17337676882743835,-0.014805595390498638,-0.11480559408664703,-0.13448084890842438,-0.03448084741830826,0.6128394603729248,-0.18716055154800415,0.34096091985702515,-0.4590390920639038,1.057763695716858,0.05776369571685791,0.6802486777305603,-0.3197513222694397,-0.9795395731925964,0.5204604268074036,-1.463600516319275,0.0363994836807251,-1.3165923357009888,0.18340766429901123,-1.313354253768921,0.1866457462310791,132
side,0.12,0,0.15454761683940887,90.02703094482422,111.30332946777344,1.4145472049713135,0.0765899196267128,1.3155597448349,0,False,0.2798558175563812,0.0,False,0.17489254474639893,0.05435679852962494,-0.3888920247554779,0.09803704172372818,0.30578213930130005,-0.1069146916270256,-0.2991473078727722,-0.1178702786564827,-0.32944944500923157,0.12864425778388977,-0.3149036169052124,0.13747666776180267,-0.20745907723903656,-0.19265887141227722,-0.32818859815597534,-0.16604366898536682,-0.22785580158233643,-0.32785579562187195,0.1189933717250824,0.21899336576461792,-0.04266299307346344,-0.14266300201416016,-0.14992479979991913,-0.04992479830980301,0.5307716131210327,-0.26922839879989624,0.38293856382369995,-0.417061448097229,1.0605769157409668,0.0605769157409668,0.6609306931495667,-0.33906930685043335,-0.9634578824043274,0.5365421175956726,-1.5056123733520508,-0.005612373352050781,-1.2966724634170532,0.20332753658294678,-1.2407203912734985,0.25927960872650146,132
side,0.14,0,0.15435102581977844,88.14727783203125,2.7484705448150635,1.3911646604537964,0.16230988502502441,1.5544981956481934,0,False,0.2992362082004547,0.0,False,0.19247184693813324,0.04448044300079346,-0.3936668038368225,0.09181065112352371,0.30748599767684937,-0.10447268187999725,-0.2909868061542511,-0.1154700517654419,-0.32555851340293884,0.12137380242347717,-0.31519225239753723,0.13496387004852295,-0.21915467083454132,-0.20547965168952942,-0.32786113023757935,-0.17129603028297424,-0.2501624524593353,-0.35016244649887085,0.13104917109012604,0.23104918003082275,-0.06600508838891983,-0.16600508987903595,-0.18630285561084747,-0.08630285412073135,0.4613926112651825,-0.33860740065574646,0.3930605351924896,-0.40693947672843933,1.063258171081543,0.06325817108154297,0.6690102815628052,-0.3309897184371948,-0.9179258942604065,0.5820741057395935,-1.557663917541504,-0.057663917541503906,-1.319535732269287,0.1804642677307129,-1.19179368019104,0.30820631980895996,132
side,0.16,0,0.15402927994728088,86.38671112060547,2.341618299484253,1.3689254522323608,0.19679781794548035,1.496198296546936,1,False,0.3196539282798767,0.0,False,0.19998957216739655,0.04382549226284027,-0.39759087562561035,0.09105725586414337,0.31647783517837524,-0.10813818871974945,-0.2800779342651367,-0.11695879697799683,-0.32464975118637085,0.11316218972206116,-0.3168478012084961,0.1320772022008896,-0.2280479520559311,-0.2219519317150116,-0.32447969913482666,-0.17808759212493896,-0.24928949773311615,-0.34928950667381287,0.12286978214979172,0.22286978363990784,-0.0920354574918747,-0.1920354664325714,-0.23381273448467255,-0.13381272554397583,0.41965314745903015,-0.3803468644618988,0.37186670303344727,-0.4281333088874817,1.0630096197128296,0.06300961971282959,0.6698388457298279,-0.3301611542701721,-0.8734505772590637,0.6265494227409363,-1.5979892015457153,-0.09798920154571533,-1.323575496673584,0.17642450332641602,-1.145802617073059,0.3541973829269409,132
side,0.18,0,0.15415015816688538,84.87290954589844,0.979414165019989,1.3495442867279053,0.22179339826107025,1.159340262413025,1,False,0.334687203168869,0.0,False,0.19974638521671295,0.04840485751628876,-0.4006619155406952,0.09354957938194275,0.32692950963974,-0.11435233056545258,-0.27313968539237976,-0.12086288630962372,-0.32278117537498474,0.10481998324394226,-0.3163136839866638,0.1291925609111786,-0.23050247132778168,-0.23891782760620117,-0.31741198897361755,-0.18525800108909607,-0.23591575026512146,-0.335915744304657,0.10271206498146057,0.2027120590209961,-0.11913033574819565,-0.21913033723831177,-0.28475844860076904,-0.18475845456123352,0.4025722146034241,-0.3974277973175049,0.3337947726249695,-0.4662052392959595,1.0710610151290894,0.07106101512908936,0.6645405292510986,-0.33545947074890137,-0.837759792804718,0.662240207195282,-1.601871132850647,-0.10187113285064697,-1.3447506427764893,0.15524935722351074,-1.1229327917099,0.3770672082901001,132
side,0.2,0,0.15418171882629395,83.51518249511719,0.4273330867290497,1.3319610357284546,0.21537582576274872,1.1499643325805664,1,False,0.34634846448898315,0.0,False,0.20611846446990967,0.05562235414981842,-0.40041106939315796,0.0970688909292221,0.3355032801628113,-0.1219397783279419,-0.2738962173461914,-0.12664169073104858,-0.3211895525455475,0.09744042158126831,-0.31573134660720825,0.12662842869758606,-0.2326587587594986,-0.25692152976989746,-0.31058138608932495,-0.19283615052700043,-0.21798433363437653,-0.31798434257507324,0.07406290620565414,0.17406290769577026,-0.1432747095823288,-0.2432747185230255,-0.3380737602710724,-0.23807376623153687,0.3861939311027527,-0.41380608081817627,0.2914177179336548,-0.5085822939872742,1.077813982963562,0.07781398296356201,0.6499544978141785,-0.35004550218582153,-0.8377598524093628,0.6622401475906372,-1.5592734813690186,-0.059273481369018555,-1.3626244068145752,0.1373755931854248,-1.084322452545166,0.415677547454834,132
