step,time_s,phase,cmd_x,cmd_y,cmd_yaw,height,x,y,speed,yaw_speed,roll_deg,pitch_deg,foot_contacts,base_contact,done,vx,vy,vx_b,vy_b,wz,push_delta_vy,joint_rms_deviation,FL_foot_x_b,FL_foot_y_b,FL_foot_z_w,FL_foot_fz,FL_foot_contact,FL_foot_speed_xy,FR_foot_x_b,FR_foot_y_b,FR_foot_z_w,FR_foot_fz,FR_foot_contact,FR_foot_speed_xy,RL_foot_x_b,RL_foot_y_b,RL_foot_z_w,RL_foot_fz,RL_foot_contact,RL_foot_speed_xy,RR_foot_x_b,RR_foot_y_b,RR_foot_z_w,RR_foot_fz,RR_foot_contact,RR_foot_speed_xy
1,0.02,stand,0.0,0.0,0.0,0.39872339367866516,7.207319140434265e-05,2.8205180569784716e-05,0.007679030764847994,0.03206147998571396,-0.35586659617728367,-0.007931051913101499,0,0,0,0.006443069316446781,0.004177842289209366,0.006425951141864061,0.003338826587423682,0.03206147998571396,0.0,0.07543319463729858,0.17264370620250702,0.16926053166389465,0.07771579921245575,0.0,0,0.3551010191440582,0.16743390262126923,-0.1773773729801178,0.08016418665647507,0.0,0,0.4136543273925781,-0.28827744722366333,0.16746671497821808,0.09522337466478348,0.0,0,0.9992882609367371,-0.2823385000228882,-0.1699763983488083,0.09451702237129211,0.0,0,0.6919110417366028
2,0.04,stand,0.0,0.0,0.0,0.39380985498428345,-9.208172559738159e-05,1.5328456356655806e-05,0.014458661898970604,0.004336260724812746,-0.5576611467911519,0.1579766592726282,0,0,0,-0.014449919573962688,0.0005027090082876384,-0.013514991849660873,-0.0027853345964103937,-0.004336260724812746,0.0,0.15992316603660583,0.17496639490127563,0.16753733158111572,0.051672205328941345,0.0,0,0.3715091347694397,0.15988987684249878,-0.18151569366455078,0.05567384511232376,0.0,0,0.14295926690101624,-0.3109937310218811,0.1608080118894577,0.07634592056274414,0.0,0,1.000927448272705,-0.2845578193664551,-0.16195330023765564,0.07956888526678085,0.0,0,0.4567881226539612
3,0.06,stand,0.0,0.0,0.0,0.3847898840904236,-0.00043344683945178986,2.1878549887333065e-05,0.018102871254086494,0.0056158616207540035,-0.731726970324193,0.4968748644164184,0,0,0,-0.01807323656976223,0.0010353958932682872,-0.013341925106942654,-0.00591425783932209,0.0056158616207540035,0.0,0.23293724656105042,0.18097393214702606,0.1667812317609787,0.02920655906200409,0.0,0,0.20897811651229858,0.15262188017368317,-0.18451450765132904,0.03005030006170273,0.0,0,0.3957555890083313,-0.3222009241580963,0.15485399961471558,0.05460154265165329,0.0,0,0.3350379765033722,-0.2800837457180023,-0.15824201703071594,0.06144866347312927,0.0,0,0.31707316637039185
4,0.08,stand,0.0,0.0,0.0,0.3733685612678528,-0.0007767900824546814,2.8937633032910526e-05,0.016858292743563652,0.031885575503110886,-0.7728410805896732,0.2623576779018126,2,0,0,-0.01685776375234127,0.00013355327246244997,-0.014319216832518578,-0.0073365443386137486,-0.031885575503110886,0.0,0.24894827604293823,0.17939352989196777,0.1669837385416031,0.022975876927375793,78.17304992675781,1,0.04464432969689369,0.1486218273639679,-0.1847963035106659,0.02279287576675415,84.8333740234375,1,0.04115818440914154,-0.3224577009677887,0.1518435776233673,0.027912847697734833,0.0,0,0.4873417913913727,-0.2740115225315094,-0.16236072778701782,0.04093143343925476,0.0,0,0.6201231479644775
5,0.1,stand,0.0,0.0,0.0,0.36369216442108154,-0.0015622153878211975,8.637778228148818e-05,0.034278225153684616,0.13098007440567017,-1.3993164366295563,-1.2062008419753794,4,0,0,-0.034185562282800674,0.0025187258142977953,-0.04194264858961105,-0.0064582801423966885,0.13098007440567017,0.0,0.22085773944854736,0.1709178239107132,0.16316096484661102,0.023016758263111115,101.20345306396484,1,0.035777363926172256,0.14010778069496155,-0.18840248882770538,0.022848762571811676,105.1095962524414,1,0.03824487701058388,-0.32773977518081665,0.14733585715293884,0.02233080565929413,70.61978912353516,1,0.09005894511938095,-0.2687349021434784,-0.17455002665519714,0.022272169589996338,106.47685241699219,1,0.3827214539051056
6,0.12,stand,0.0,0.0,0.0,0.35786429047584534,-0.0026788506656885147,-8.294391591334715e-05,0.06327754259109497,0.08318731933832169,-1.4062254931401417,-1.8984681552779692,4,0,0,-0.06258907914161682,-0.009308840148150921,-0.06987252831459045,-0.014500676654279232,0.08318731933832169,0.0,0.18814116716384888,0.16799332201480865,0.16301319003105164,0.02307816594839096,63.1114616394043,1,0.029386041685938835,0.13651952147483826,-0.18845708668231964,0.02288227528333664,69.22734069824219,1,0.043613333255052567,-0.3307965099811554,0.14824964106082916,0.022408515214920044,62.38019943237305,1,0.029659850522875786,-0.27254703640937805,-0.17364346981048584,0.022836878895759583,54.87523651123047,1,0.023063959553837776
7,0.14,stand,0.0,0.0,0.0,0.3540821075439453,-0.003872588276863098,-0.00018392500351183116,0.058045849204063416,0.04988240823149681,-1.2775475039414517,-1.825901237327992,4,0,0,-0.05802862346172333,-0.0014139852719381452,-0.0634048581123352,-0.004928295034915209,0.04988240823149681,0.0,0.1689675748348236,0.16952374577522278,0.1637163907289505,0.02308683842420578,43.571746826171875,1,0.02583722025156021,0.13765285909175873,-0.18767498433589935,0.022900834679603577,56.28094482421875,1,0.020911220461130142,-0.3291909098625183,0.14954067766666412,0.02244659513235092,47.46271514892578,1,0.012506899423897266,-0.2713474929332733,-0.17238928377628326,0.022870950400829315,35.5638427734375,1,0.013556068763136864
8,0.16,stand,0.0,0.0,0.0,0.3506915867328644,-0.00495554506778717,-0.00010215955262538046,0.05365338549017906,0.03501397743821144,-1.332910135867519,-1.6623508635481556,4,0,0,-0.05292851850390434,0.008789625950157642,-0.05778176710009575,0.005125497467815876,0.03501397743821144,0.0,0.15271475911140442,0.17139692604541779,0.16323044896125793,0.02311083674430847,37.21296310424805,1,0.029525773599743843,0.1392906904220581,-0.18805266916751862,0.02292778342962265,59.38833236694336,1,0.017334144562482834,-0.32721754908561707,0.14943481981754303,0.02246910333633423,33.575660705566406,1,0.0034311339259147644,-0.2696448266506195,-0.17251279950141907,0.02289184182882309,19.615875244140625,1,0.013600463978946209
9,0.18,stand,0.0,0.0,0.0,0.3472032845020294,-0.0060259439051151276,0.00016479665646329522,0.05701232701539993,0.00479564955458045,-1.4421656283876314,-1.5879976376868083,4,0,0,-0.054424501955509186,0.01698172464966774,-0.05915078893303871,0.012893137522041798,0.00479564955458045,0.0,0.13663652539253235,0.17266353964805603,0.16235220432281494,0.02314041554927826,38.415863037109375,1,0.02641484886407852,0.1404913067817688,-0.18883970379829407,0.02295491099357605,58.5041389465332,1,0.019985215738415718,-0.3258713185787201,0.148715540766716,0.022494152188301086,32.28367233276367,1,0.005228436551988125,-0.2683992087841034,-0.1732059121131897,0.02291751652956009,18.52189826965332,1,0.01558352168649435
10,0.2,stand,0.0,0.0,0.0,0.34371137619018555,-0.007149267941713333,0.0005739221232943237,0.06169167533516884,0.02468893490731716,-1.5533687920382553,-1.5446106752533006,4,0,0,-0.05745388939976692,0.022470274940133095,-0.06195402145385742,0.018115395680069923,-0.02468893490731716,0.0,0.12127827852964401,0.17371024191379547,0.16144326329231262,0.023169778287410736,42.16069412231445,1,0.021354898810386658,0.14167048037052155,-0.18967677652835846,0.022982031106948853,55.452388763427734,1,0.018929792568087578,-0.32474616169929504,0.14768634736537933,0.022519506514072418,32.94514846801758,1,0.01346819568425417,-0.26718947291374207,-0.17416860163211823,0.022939160466194153,22.610469818115234,1,0.018956374377012253
